document_id,entity,entity_type,source,method,confidence,evidence
164719,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
164719,Đoàn Thái Sơn,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc Ngân hàng Nhà nước Việt Nam)
164719,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
173695,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
173695,Đoàn Thái Sơn,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
173695,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
186482,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
186482,Đoàn Thái Sơn,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
186482,Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,original,1.0,Metadata linh_vuc: Cục An toàn hệ thống các tổ chức tín dụng
112924,Bộ Tài chính,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Bộ Tài chính
112924,Trần Xuân Hà,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Trần Xuân Hà (Thứ trưởng)
174218,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
174218,Đoàn Thái Sơn,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
174218,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
186888,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
186888,Đoàn Thái Sơn,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
186888,Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,original,1.0,Metadata linh_vuc: Cục An toàn hệ thống các tổ chức tín dụng
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,Đoàn Thái Sơn,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
185630,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
185630,Đoàn Thái Sơn,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
185630,"Lao động, tiền lương, tiền công",LinhVuc,metadata,original,1.0,"Metadata linh_vuc: Lao động, tiền lương, tiền công"
117310,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
117310,Nguyễn Đồng Tiến,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Nguyễn Đồng Tiến (Phó Thống đốc)
117310,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
166269,Quốc hội,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Quốc hội
166269,Vương Đình Huệ,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Vương Đình Huệ (Chủ tịch Quốc hội)
177271,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
177271,Đoàn Thái Sơn,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
177271,Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,original,1.0,Metadata linh_vuc: Cục An toàn hệ thống các tổ chức tín dụng
44209,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
44209,Đào Minh Tú,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Đào Minh Tú (Phó Thống đốc)
44209,Phát hành và kho quỹ,LinhVuc,metadata,original,1.0,Metadata linh_vuc: Phát hành và kho quỹ
25692,Quốc hội,CoQuan,metadata,original,1.0,Metadata co_quan_ban_hanh: Quốc hội
25692,Nguyễn Phú Trọng,NguoiKy,metadata,original,1.0,Metadata nguoi_ky: Nguyễn Phú Trọng (Chủ tịch Quốc hội)
